token	entity	coreference_cluster	1 – препарат, 2 – кандидат в анафоры
к			
злоупотреблению			
отсутствовала			
А			
вот			
действительно			
много			
пить			
я			
стал			
год			
назад			
после			
неудачного			
лечения			
Сероквелем			
Цитата			
"
"			
А			
что			
там			
внутри			
вас			
такого			
что			
вызывает			
у			
вас			
тоску			
Ну			
это			
довольно			
запутанный			
вопрос			
Можно			
сказать			
тоска			
вызывается			
неприглядной			
картиной			
мира			
отсутствием			
в			
ней			
неких			
точек			
опоры			
Человеческая			
цивилизация			
подчас			
кажется			
мне			
уродливой			
бессмысленной			
а			
людские			
устремления			
мелочными			
и			
жалкими			
Мир			
жесток			
и			
равнодошен			
и			
это			
меня			
пугает			
Словом			
обыкновенное			
мировоззрение			
характерное			
для			
пессимистов			
и			
меланхоликов			
Но			
тут			
сложность			
в			
том			
что			
я			
не			
склонен			
относить			
негативное			
мировосприятие			
к			
причинам			
тоски			
Скорее			
наоборот			
тоска			
и			
является			
причиной			
такого			
отношения			
к			
миру			
"
"			
Цитата			
"
"			
Можно			
сказать			
тоска			
вызывается			
неприглядной			
картиной			
мира			
отсутствием			
в			
ней			
неких			
точек			
опоры			
Человеческая			
цивилизация			
подчас			
кажется			
мне			
уродливой			
бессмысленной			
а			
людские			
устремления			
мелочными			
и			
жалкими			
Мир			
жесток			
и			
равнодошен			
и			
это			
меня			
пугает			
Словом			
обыкновенное			
мировоззрение			
характерное			
для			
пессимистов			
и			
меланхоликов			
Но			
тут			
сложность			
в			
том			
что			
я			
не			
склонен			
относить			
негативное			
мировосприятие			
к			
причинам			
тоски			
Скорее			
наоборот			
тоска			
и			
является			
причиной			
такого			
отношения			
к			
миру			
Вы			
можете			
своё			
состояние			
оценить			
как			
депрессивное			
И			
ещё			
несколько			
вопросов			
по			
мышлению			
Скажите			
не			
наблюдали			
у			
себя			
1.путаницу			
мыслей			
2.обрывы			
мыслей			
3.чувство			
пустоты			
в			
голове			
4.ощущение			
каши			
из			
мыслей			
в			
голове			
5.не			
было			
ощущения			
звучания			
мыслей			
чувства			
отнятия			
мыслей			
эхо			
мыслей			
6.не			
слышали			
в			
пустом			
помещении			
чужие			
голоса			
"
"			
Цитата			
"
"			
Вы			
можете			
своё			
состояние			
оценить			
как			
депрессивное			
Думаю			
что			
да			
Другое			
дело			
что			
это			
состояние			
длится			
уже			
так			
долго			
что			
стало			
частью			
моего			
характера			
Цитата			
"
"			
Скажите			
не			
наблюдали			
у			
себя			
1.путаницу			
мыслей			
2.обрывы			
мыслей			
3.чувство			
пустоты			
в			
голове			
4.ощущение			
каши			
из			
мыслей			
в			
голове			
"
"			
Нет			
обычно			
у			
меня			
в			
голове			
единовременно			
присутствует			
не			
более			
одной			
мысли			
Мышление			
я			
бы			
скорее			
охарактеризовал			
как			
тягучее			
несколько			
заторможенное			
и			
малопродуктивное			
Со			
стороны			
наверное			
может			
казаться			
что			
я			
крепко			
задумался			
а			
в			
действительности			
я			
медленно			
пережевываю			
разные			
незначительные			
наблюдения			
Чувство			
пустоты			
в			
голове			
испытывал			
во			
время			
приема			
сероквеля			
Цитата			
"
"			
5.не			
было			
ощущения			
звучания			
мыслей			
чувства			
отнятия			
мыслей			
эхо			
мыслей			
6.не			
слышали			
в			
пустом			
помещении			
чужие			
голоса			
Нет			
такого			
не			
было			
"
"			
Цитата			
"
"			
Другое			
дело			
что			
это			
состояние			
длится			
уже			
так			
долго			
что			
стало			
частью			
моего			
характера			
Вы			
не			
обсуждали			
со			
своим			
врвчом			
формулировку			
диагноза			
и			
необходимость			
приёма			
именно			
сероквеля			
"
"			
Лучший			
НЛ			
Снотворный			
эффект			
настолько			
выражен			
что			
лично			
я			
пользую			
в			
качестве			
безопасного			
снотворного			
Рекомендую			
брать			
Кетилепт			
дешевле			
в			
два			
раза			
а			
качество			
хорошее			
фармацевтический			
завод			
Эгис			
"
"			
Цитата			
"
"			
Вы			
не			
обсуждали			
со			
своим			
врвчом			
формулировку			
диагноза			
и			
необходимость			
приёма			
именно			
сероквеля			
Диагноз			
врач			
почему			
то			
объявлять			
не			
захотел			
Я			
говорил			
что			
лекарство			
мне			
не			
помогает			
делает			
еще			
более			
апатичным			
и			
вялым			
чем			
обычно			
Врач			
посоветовал			
понизить			
дозировку			
и			
продолжать			
лечение			
Однако			
оно			
мне			
нисколько			
не			
помогло			
"
"			
Пропил			
Сероквель			
уже			
полтора			
года			
ещё			
пол			
годика			
думаю			
попью			
и			
начну			
закругляться			
Началось			
всё			
с			
каких			
то			
белых			
пятен			
у			
меня			
в			
мозгу			
которые			
показала			
МРТ.			
Врачи			
голову			
ломали			
ломали			
да			
и			
отдали			
меня			
в			
психушку			
ну			
и			
слава			
богу			
кстати			
Я			
с			
17			
лет			
стал			
ужасно			
агрессивным			
очень			
злопамятным			
легко			
заводился			
постоянно			
разбивал			
свои			
кулаки			
об			
стены			
шкафы			
двери			
...			
да			
много			
чего			
поломал			
и			
однажды			
даже			
сами			
руки			
В			
психушке			
мне			
назначили			
этот			
самый			
сероквель			
Начало			
было			
не			
очень			
хорошим			
...			
эффект			
был			
не			
таким			
как			
у			
большинства			
мой			
организм			
отчаянно			
боролся			
против			
этого			
нейролептика			
меня			
после			
приёма			
постоянно			
ломало			
крутило			
я			
бесился			
но			
уже			
не			
мог			
выплеснуть			
ярость			
наружу			
сумасшествие			
было			
у			
меня			
в			
голове			
а			
до			
тела			
сероквель			
допускал			
только			
стандартные			
команды			
ходить			
сидеть			
есть			
дышать			
Меня			
выворачивало			
от			
злости			
что			
меня			
блокирует			
этот			
сероквель			
но			
я			
продолжал			
его			
пить			
в			
надежде			
на			
выздоравливание			
И			
вот			
меня			
выписали			
я			
продолжал			
пить			
по			
200			
мг			
за			
раз			
утром			
и			
вечером			
Утром			
меня			
так			
клонило			
в			
сон			
что			
на			
парах			
в			
универе			
я			
просто			
сидел			
в			
уголочке			
пуская			
слюни			
Учиться			
по			
утрам			
было			
невозможно			
Принимая			
же			
его			
на			
ночь			
я			
часа			
полтора			
мучался			
на			
кровати			
в			
ломках			
и			
судорогах			
всего			
крутило			
и			
о			
сне			
и			
речи			
бытьне			
могло			
но			
стоило			
встать			
с			
кровати			
и			
открыть			
глаза			
как			
тут			
же			
опять			
сильно			
хотелось			
спать			
и			
всё			
тело			
обмякало			
Шли			
месяцы			
я			
всё			
не			
сдавался			
и			
наконец			
то			
однажды			
я			
осознал			
что			
вчера			
вечером			
я			
уснул			
безо			
всяких			
проблем			
правда			
иногда			
если			
я			
забывал			
принять			
сероквель			
я			
тут			
же			
вспоминал			
что			
забыл			
это			
сделать			
правда			
уже			
успев			
кому			
нибудь			
начистить			
морду			
или			
сломав			
очередной			
стул			
об			
стену			
Последний			
срыв			
был			
полтора			
месяца			
назад			
сильный			
довольно			
...			
но			
замечу			
что			
они			
стали			
происходить			
уже			
не			
каждый			
день			
а			
раз			
в			
сезон			
или			
около			
того			
Да			
не			
спорю			
жрать			
от			
него			
ужасно			
хочется			
И			
после			
тренировок			
в			
бассейне			
у			
меня			
кожа			
на			
животе			
жёлтая			
...			
боюсь			
печень			
он			
мне			
тоже			
губит			
не			
слабо			
Но			
я			
больше			
не			
борюсь			
за			
несуществующую			
цель			
я			
больше			
не			
злой			
и			
не			
навязчивый			
в			
поведении			
И			
ещё			
хотелось			
бы			
заметить			
что			
то			
спокойствие			
которое			
вы			
так			
цените			
из			
эффектов			
сероквеля			
для			
меня			
никогда			
не			
существовало			
он			
что			
то			
со			
мной			
делает			
но			
что			
...			
я			
не			
могу			
заметить			
Теперь			
у			
меня			
постоянное			
желание			
заниматься			
спортом			
учиться			
культурно			
отдыхать			
....			
хочется			
выпить			
иногда			
конечно			
но			
строго			
себе			
запрещаю			
это			
сделать			
В			
общем			
пейте			
сероквель			
люди			
пейте			
и			
не			
копайтесь			
в			
своих			
чувствах			
он			
поможет			
когда			
вы			
перестанете			
обращать			
на			
него			
внимание			
Ну			
и			
время			
...			
конечно			
же			
не			
месяц			
и			
не			
два			
через			
пару			
лет			
возможно			
И			
Chk			
удачи			
в			
начинаниях			
Бросай			
пить			
психам			
пить			
нельзя			
ни			
в			
коем			
случае			
Найди			
себе			
хобби			
любое			
лишь			
бы			
было			
интересно			
А			
если			
ничего			
не			
интересно			
то			
пиши			
книги			
"
"			
Цитата			
"
"			
Диагноз			
врач			
почему			
то			
объявлять			
не			
захотел			
Я			
говорил			
что			
лекарство			
мне			
не			
помогает			
делает			
еще			
более			
апатичным			
и			
вялым			
чем			
обычно			
Врач			
посоветовал			
понизить			
дозировку			
и			
продолжать			
лечение			
Однако			
оно			
мне			
нисколько			
не			
помогло			
В			
данной			
ситуации			
рекомендую			
поменять			
лечащего			
врача			
по			
возможности			
либо			
обратиться			
на			
консультацию			
к			
сотрудникам			
кафедры			
психиатрии			
Цель			
консультации			
уточнение			
диагноза			
смена			
медикаментозного			
лечения			
решение			
вопроса			
о			
включении			
в			
схему			
лечения			
антидепрессантов			
"
"			
Цитата			
"
"			
В			
данной			
ситуации			
рекомендую			
поменять			
лечащего			
врача			
по			
возможности			
либо			
обратиться			
на			
консультацию			
к			
сотрудникам			
кафедры			
психиатрии			
Цель			
консультации			
уточнение			
диагноза			
смена			
медикаментозного			
лечения			
решение			
вопроса			
о			
включении			
в			
схему			
лечения			
антидепрессантов			
Большое			
спасибо			
Пожалуй			
я			
так			
и			
сделаю			
"
"			
Цитата			
"
"			
Большое			
спасибо			
Пожалуй			
я			
так			
и			
сделаю			
Вы			
имеете			
право			
знать			
свой			
диагноз			
цель			
назначения			
того			
или			
иного			
препарата			
Удачи			
"
"			
RTF			
сказал(а			
22.10.2009			
10:51			
"
"			
Лучший			
НЛ			
Снотворный			
эффект			
настолько			
выражен			
что			
лично			
я			
пользую			
в			
качестве			
безопасного			
снотворного			
Рекомендую			
брать			
Кетилепт			
дешевле			
в			
два			
раза			
а			
качество			
хорошее			
фармацевтический			
завод			
Эгис			
Ещё			
дешевле			
Кветирон			
Кветиапин			
украинского			
производства			
ООО			
Фарма			
Старт			
г			
Киев			
В			
Украине			
он			
стоит			
120			
грн			
425			
руб			
за			
30			
таб			
100			
мг			
Неделю			
назад			
начал			
принимать			
по			
100			
мг			
в			
сутки			
Всё			
нормально			
но			
на			
сон			
клонит			
В			
инструкции			
написано			
что			
первые			
2			
недели			
будет			
вызывать			
сонливость			
Посмотрим			
"
"			
Управление			
контроля			
качества			
продуктов			
и			
лекарственных			
средств			
США			
FDA			
одобрило			
новый			
препарат			
Латуда			
луразидон			
HCl			
Latuda			
в			
таблетках			
для			
лечения			
шизофрении			
у			
взрослых			
пациентов			
Латуда			
относится			
к			
классу			
атипичных			
антипсихотических			
препаратов			
Эффективность			
и			
безопасность			
препарата			
для			
лечения			
шизофрении			
были			
показаны			
в			
ходе			
четырех			
6-недельных			
клинических			
испытаний			
Наиболее			
распространенные			
побочные			
эффекты			
–			
тошнота			
тремор			
замедленные			
движения			
взволнованность			
акатизия			
Производителем			
препарата			
Латуда			
является			
компания			
Суновион			
Фармасьютикалз			
Sunovion			
Pharmaceuticals			
Inc			
"

"			
http://www.latuda.co			
...			
ss			
release.html			
"
"			
Краем			
глаза			
где			
то			
видел			
что			
Луразидон			
вроде			
как			
в			
Японии			
синтезировали			
В			
связи			
с			
этим			
вспомнилось			
что			
там			
же			
появилось			
и			
много			
других			
антипсихотиков			
некоторые			
из			
которых			
преимущественно			
на			
внутреннем			
рынке			
и			
используются			
Но			
почему			
Примеры			
"
"			
http://en.wikipedia			
....			
iki			
Blonanserin			
"
"			
http://en.wikipedia.org/wiki/Zotepine			
"
"			
http://en.wikipedia			
....			
iki			
Mosapramine			
"
"			
http://en.wikipedia			
....			
iki			
Perospirone			
"
"			
etc			
...			
"

"			
Только			
лишь			
вопрос			
маркетинга			
Доказательная			
база			
по			
некоторым			
из			
них			
очень			
даже			
есть(по			
Зотепину			
к			
примеру			
она			
весьма			
неплохая			
"
"			
DmitriyB			
сказал(а			
25			
Янв			
2011			
6:15			
ПП			
"
"			
там			
же			
появилось			
и			
много			
других			
антипсихотиков			
некоторые			
из			
которых			
преимущественно			
на			
внутреннем			
рынке			
и			
используются			
Но			
почему			
Видимо			
производители			
удовлетворены			
внутренним			
рынком			
У			
нас			
ведь			
производители			
афобазола			
и			
всяческих			
арбидолов			
тоже			
довольны			
внутренним			
рынком			
А			
с			
международными			
клиническими			
испытаниями			
можно			
и			
пролететь			
"
"			
Старые			
препараты			
уже			
точно			
не			
будут			
выведены			
на			
большой			
рынок			
Новые			
тоже			
под			
вопросом			
К			
тому			
же			
рынок			
сейчас			
насыщен			
атипиками			
с			
подобными			
механизмами			
действия			
Вряд			
ли			
удастся			
новым			
препаратам			
занять			
нишу			
Сейчас			
в			
исследованиях			
находятся			
средства			
с			
другими			
механизмами			
действия			
Вот			
это			
будет			
действительно			
шагом			
вперед			
"
"			
Зотепин			
сильно			
повышает			
пролактин			
Поэтому			
FDA			
его			
однозначно			
не			
пропустит			
"
"			
Сколько			
прошло			
времени			
а			
воз			
и			
ныне			
там			
"
"			
Препарат			
зарегистрирован			
в			
США			
для			
терапии			
шизофрении			
и			
биполярного			
расстройства			
В			
России			
регистрации			
пока			
нет			
будет			
или			
нет			
вопрос			
Особенность			
препарата			
в			
том			
что			
он			
меньше			
других			
атипиков			
влияет			
на			
эндокринную			
сферу			
набор			
массы			
тела			
и			
пролактин			
практически			
не			
влияет			
на			
QT			
интервал			
на			
ЭКГ			
Особенность			
по			
применению			
препарата			
нужно			
принимать			
вместе			
с			
пищей			
Приходилось			
сталкиваться			
с			
препаратом			
в			
ходе			
клинических			
исследований			
Пожалуй			
достаточно			
перспективный			
вариант			
для			
поддерживающей			
терапии			
либо			
в			
комбинации			
с			
другими			
препаратами			
Для			
купирования			
острых			
симптомов			
шизофрении			
или			
мании			
наверное			
не			
лучший			
вариант			
А			
для			
профилактического			
лечения			
либо			
лечения			
биполярной			
депрессии			
хороший			
вариант			
"
"			
Итак			
сложилось			
первое			
впечатление			
от			
препарата			
Радует			
хорошей			
переносимостью			
особенно			
в			
отношении			
эндокринно			
метаболических			
побочек			
в			
сравнении			
с			
другими			
атипиками			
Возможно			
использование			
препарата			
в			
широком			
диапазоне			
доз			
Типичные			
нейролептические			
побочек			
заторможенность			
акатизия			
и			
т.п			
могут			
отмечаться			
на			
дозах			
от			
80			
мг			
и			
выше			
Но			
они			
по			
степени			
выраженности			
не			
сравнятся			
ни			
с			
одним			
препаратом			
первой			
генерации			
Так			
что			
свое			
утверждение			
от			
2011			
года			
про			
то			
что			
препарату			
будет			
трудно			
занять			
свою			
нишу			
прошу			
считать			
недействительным			
Перспективы			
у			
луразидона			
хорошие			
Способен			
в			
силу			
лучшей			
переносимости			
существенно			
потеснить			
оланзапин			
и			
кветиапин			
не			
говоря			
уж			
о			
рисперидоне			
"
"			
А			
как			
насчет			
более			
важного			
капитального			
вопроса			
насколько			
ухудшаются			
когнитивные			
способности			
"
"			
Я			
участвовал			
в			
клинич			
исследовании			
луразидона			
полгода			
Ничего			
хорошего			
сказать			
не			
могу			
У			
меня			
стоит			
диагноз			
БАР			
проявляющийся			
в			
виде			
тревожно			
депрессивного			
расстройства			
Принимал			
луразидон			
по			
20			
мг			
лучше			
чем			
от			
других			
препаратов			
не			
было			
тревога			
уходила			
плохо			
поэтому			
параллельно			
мне			
назначили			
феварин			
От			
больших			
доз			
вроде			
60			
мг			
тревога			
и			
беспокойство			
только			
увеличивались			
Появился			
бруксизм			
потом			
начались			
проблемы			
с			
речью			
заикание			
В			
итоге			
я			
отказался			
от			
дальнейшего			
участия			
в			
исследованиях			
Не			
знаю			
как			
другим			
но			
мне			
этот			
препарат			
не			
помог			
"
"			
radorat			
может			
быть			
то			
что			
вы			
описываете			
было			
акатизией			
реакция			
на			
увеличение			
дозы			
говорит			
скорее			
об			
этом			
А			
как			
с			
переносимостью			
иных			
антипсихотиков			
"
"			
Управление			
контроля			
качества			
продуктов			
и			
лекарственных			
средств			
США			
FDA			
одобрило			
новый			
препарат			
Латуда			
луразидон			
HCl			
Latuda			
в			
таблетках			
для			
лечения			
шизофрении			
у			
взрослых			
пациентов			
Латуда			
относится			
к			
классу			
атипичных			
антипсихотических			
препаратов			
Эффективность			
и			
безопасность			
препарата			
для			
лечения			
шизофрении			
были			
показаны			
в			
ходе			
четырех			
6-недельных			
клинических			
испытаний			
Наиболее			
распространенные			
побочные			
эффекты			
–			
тошнота			
тремор			
замедленные			
движения			
взволнованность			
акатизия			
Производителем			
препарата			
Латуда			
является			
компания			
Суновион			
Фармасьютикалз			
Sunovion			
Pharmaceuticals			
Inc			
"

"			
http://www.latuda.co			
...			
ss			
release.html			
"
"			
Краем			
глаза			
где			
то			
видел			
что			
Луразидон			
вроде			
как			
в			
Японии			
синтезировали			
В			
связи			
с			
этим			
вспомнилось			
что			
там			
же			
появилось			
и			
много			
других			
антипсихотиков			
некоторые			
из			
которых			
преимущественно			
на			
внутреннем			
рынке			
и			
используются			
Но			
почему			
Примеры			
"
"			
http://en.wikipedia			
....			
iki			
Blonanserin			
"
"			
http://en.wikipedia.org/wiki/Zotepine			
"
"			
http://en.wikipedia			
....			
iki			
Mosapramine			
"
"			
http://en.wikipedia			
....			
iki			
Perospirone			
"
"			
etc			
...			
"

"			
Только			
лишь			
вопрос			
маркетинга			
Доказательная			
база			
по			
некоторым			
из			
них			
очень			
даже			
есть(по			
Зотепину			
к			
примеру			
она			
весьма			
неплохая			
"
"			
DmitriyB			
сказал(а			
25			
Янв			
2011			
6:15			
ПП			
"
"			
там			
же			
появилось			
и			
много			
других			
антипсихотиков			
некоторые			
из			
которых			
преимущественно			
на			
внутреннем			
рынке			
и			
используются			
Но			
почему			
Видимо			
производители			
удовлетворены			
внутренним			
рынком			
У			
нас			
ведь			
производители			
афобазола			
и			
всяческих			
арбидолов			
тоже			
довольны			
внутренним			
рынком			
А			
с			
международными			
клиническими			
испытаниями			
можно			
и			
пролететь			
"
"			
Старые			
препараты			
уже			
точно			
не			
будут			
выведены			
на			
большой			
рынок			
Новые			
тоже			
под			
вопросом			
К			
тому			
же			
рынок			
сейчас			
насыщен			
атипиками			
с			
подобными			
механизмами			
действия			
Вряд			
ли			
удастся			
новым			
препаратам			
занять			
нишу			
Сейчас			
в			
исследованиях			
находятся			
средства			
с			
другими			
механизмами			
действия			
Вот			
это			
будет			
действительно			
шагом			
вперед			
"
"			
Зотепин			
сильно			
повышает			
пролактин			
Поэтому			
FDA			
его			
однозначно			
не			
пропустит			
"
"			
Сколько			
прошло			
времени			
а			
воз			
и			
ныне			
там			
"
"			
Препарат			
зарегистрирован			
в			
США			
для			
терапии			
шизофрении			
и			
биполярного			
расстройства			
В			
России			
регистрации			
пока			
нет			
будет			
или			
нет			
вопрос			
Особенность			
препарата			
в			
том			
что			
он			
меньше			
других			
атипиков			
влияет			
на			
эндокринную			
сферу			
набор			
массы			
тела			
и			
пролактин			
практически			
не			
влияет			
на			
QT			
интервал			
на			
ЭКГ			
Особенность			
по			
применению			
препарата			
нужно			
принимать			
вместе			
с			
пищей			
Приходилось			
сталкиваться			
с			
препаратом			
в			
ходе			
клинических			
исследований			
Пожалуй			
достаточно			
перспективный			
вариант			
для			
поддерживающей			
терапии			
либо			
в			
комбинации			
с			
другими			
препаратами			
Для			
купирования			
острых			
симптомов			
шизофрении			
или			
мании			
наверное			
не			
лучший			
вариант			
А			
для			
профилактического			
лечения			
либо			
лечения			
биполярной			
депрессии			
хороший			
вариант			
"
"			
Итак			
сложилось			
первое			
впечатление			
от			
препарата			
Радует			
хорошей			
переносимостью			
особенно			
в			
отношении			
эндокринно			
метаболических			
побочек			
в			
сравнении			
с			
другими			
атипиками			
Возможно			
использование			
препарата			
в			
широком			
диапазоне			
доз			
Типичные			
нейролептические			
побочек			
заторможенность			
акатизия			
и			
т.п			
могут			
отмечаться			
на			
дозах			
от			
80			
мг			
и			
выше			
Но			
они			
по			
степени			
выраженности			
не			
сравнятся			
ни			
с			
одним			
препаратом			
первой			
генерации			
Так			
что			
свое			
утверждение			
от			
2011			
года			
про			
то			
что			
препарату			
будет			
трудно			
занять			
свою			
нишу			
прошу			
считать			
недействительным			
Перспективы			
у			
луразидона			
хорошие			
Способен			
в			
силу			
лучшей			
переносимости			
существенно			
потеснить			
оланзапин			
и			
кветиапин			
не			
говоря			
уж			
о			
рисперидоне			
"
"			
А			
как			
насчет			
более			
важного			
капитального			
вопроса			
насколько			
ухудшаются			
когнитивные			
способности			
"
"			
Я			
участвовал			
в			
клинич			
исследовании			
луразидона			
полгода			
Ничего			
хорошего			
сказать			
не			
могу			
У			
меня			
стоит			
диагноз			
БАР			
проявляющийся			
в			
виде			
тревожно			
депрессивного			
расстройства			
Принимал			
луразидон			
по			
20			
мг			
лучше			
чем			
от			
других			
препаратов			
не			
было			
тревога			
уходила			
плохо			
поэтому			
параллельно			
мне			
назначили			
феварин			
От			
больших			
доз			
вроде			
60			
мг			
тревога			
и			
беспокойство			
только			
увеличивались			
Появился			
бруксизм			
потом			
начались			
проблемы			
с			
речью			
заикание			
В			
итоге			
я			
отказался			
от			
дальнейшего			
участия			
в			
исследованиях			
Не			
знаю			
как			
другим			
но			
мне			
этот			
препарат			
не			
помог			
"
"			
radorat			
может			
быть			
то			
что			
вы			
описываете			
было			
акатизией			
реакция			
на			
увеличение			
дозы			
говорит			
скорее			
об			
этом			
А			
как			
с			
переносимостью			
иных			
антипсихотиков			
"
"			
Другие			
антипсихотики			
таких			
эффектов			
не			
вызывали			
Нет			
на			
акатизию			
не			
похоже			
постоянно			
двигаться			
мне			
не			
хотелось			
Это			
было			
именно			
чувство			
внутреннего			
беспокойства			
и			
напряжения			
"
"			
Maxim			
сказал(а			
25			
Янв			
2011			
9:44			
ПП			
"
"			
Видимо			
производители			
удовлетворены			
внутренним			
рынком			
У			
нас			
ведь			
производители			
афобазола			
и			
всяческих			
арбидолов			
тоже			
довольны			
внутренним			
рынком			
А			
с			
международными			
клиническими			
испытаниями			
можно			
и			
пролететь			
"
"			
Старые			
препараты			
уже			
точно			
не			
будут			
выведены			
на			
большой			
рынок			
Новые			
тоже			
под			
вопросом			
К			
тому			
же			
рынок			
сейчас			
насыщен			
атипиками			
с			
подобными			
механизмами			
действия			
Вряд			
ли			
удастся			
новым			
препаратам			
занять			
нишу			
Сейчас			
в			
исследованиях			
находятся			
средства			
с			
другими			
механизмами			
действия			
Вот			
это			
будет			
действительно			
шагом			
вперед			
Максим			
у			
меня			
к			
вам			
вопрос			
где			
можно			
почитать			
информацию			
по			
поводу			
этих			
новых			
препаратов(шаг			
вперед			
и			
на			
сколько			
в			
процентном			
отношении			
они			
будут			
лучше			
хотя			
бы			
приблизительно			
я			
понимаю			
что			
вопрос			
звучит			
странно			
спасибо			
"
"			
Не			
пошла			
Реагила			
Попробуем			
Латуду			
День			
второй			
Что			
есть			
Дистимия			
личностное			
немного			
органики			
и			
плюс			
СДВГ			
в			
придачу			
Пока			
захожу			
без			
транков			
плюс			
офисная			
работа			
10ч			
день			
20			
мг			
Первое			
впечатление			
цена			
забористая			
Что			
нужно			
сон			
когнитивка			
чтоб			
мозг			
работал			
шустрее			
либидо			
и			
в			
итоге			
безграничное			
счастье			
"
"			
10			
дней			
прошло			
но			
я			
ее			
не			
чувствую			
Был			
на			
40			
мг			
такая			
ленность			
разыгралась			
Вернулся			
на			
20			
мг			
Но			
побочек			
вообще			
не			
чувствую			
...			
как			
и			
само			
лекарство			
"

"			
Летим			
дальше			
"
"			
Больше			
месяца			
на			
Латуде			
Ухожу			
Все			
апатично			
Есть			
плюсы			
Но			
они			
перекрываются			
каким			
то			
похуизмом			
и			
не			
хотением			
делать			
что			
либо			
Попробую			
зайти			
на			
Реагилу			
второй			
раз			
Самый			
большой			
плюс			
Латуды			
что			
полностью			
выстраивается			
сон			
Вечером			
лег			
утром			
проснулся			
"
"			
Добрый			
день			
Кто			
нибудь			
есть			
кто			
принимает			
Латуду			
Я			
принимаю			
40			
мг			
уже			
три			
недели			
Пока			
понять			
не			
могу			
поменялось			
ли			
состояние			
Но			
от			
отмены			
других			
препаратов			
которые			
пила			
до			
этого			
кветиапин			
и			
пиразидол			
хуже			
не			
стало			
Хочу			
узнать			
мнение			
о			
Латуде			
тех			
кто			
ее			
пьет			
...			
"
"			
Добрый			
день			
На			
рисполепте			
клопиксоле			
азалептине			
за			
несколько			
лет			
набрала			
большой			
вес			
35			
кг			
"
"			
С			
марта			
2019			
при			
участии			
эндокринолога			
начала			
сбрасывать			
вес			
на			
метформине			
13			
кг			
скинула			
"
"			
Начала			
принимать			
оланзапин			
и			
вес			
снова			
растет			
Врач			
предложила			
попробовать			
Латуду			
говорит			
что			
от			
нее			
нет			
метаболических			
нарушений			
Но			
смотрю			
описание			
лекарства			
и			
там			
все			
побочки			
которые			
есть			
сейчас			
Отзывов			
о			
Латуде			
практически			
нет			
Уважаемые			
врачи			
которые			
лечат			
своих			
пациентов			
Латудой			
были			
ли			
сдвиги			
веса			
у			
них			
в			
большую			
или			
меньшую			
сторону			
на			
препарате			
Очень			
хочется			
похудеть			
с			
одной			
стороны			
с			
другой			
оланзапин			
меня			
хорошо			
удерживает			
от			
гипоманиакальных			
состояний			
Вся			
в			
сомнениях			
"
"			
есть			
ли			
люди			
на			
Латуде			
на			
этом			
форуме			
"
"			
Что			
лучше			
от			
негативики			
Латуда			
или			
Реагила			
"
"			
У			
нас			
тут			
никто			
на			
латуде			
не			
сидит			
Вроде			
говорят			
хорошая			
замена			
кветиапину			
"
"			
Нет			
"
"			
Купил			
латуду			
с			
рук			
за			
3к			
80			
мг			
По			
ощущениея			
активизирующий			
нл			
немного			
обострилась			
тревога			
возможно			
из			
за			
отмены			
оланзапина			
2й			
день			
приема			
в			
дозировке			
20			
мг			
смог			
поспать			
всего			
2ч			
хоть			
и			
выпил			
клоназепам			
на			
ночь			
Есть			
мысль			
поменять			
схему			
АД			
на			
ппароксетин			
или			
повышать			
латуду			
до			
антипсихотической			
дозировке			
40			
мг			
может			
так			
легче			
будет			
"
"			
Акатизия			
Редактировать			
"
"			
Некоторые			
нейролептики			
второго			
поколения			
такие			
как			
луразидон			
и			
частичный			
D2-агонист			
арипипразол			
с			
большей			
вероятностью			
вызывают			
акатизию			
по			
сравнению			
с			
другими			
антипсихотиками			
второго			
поколения			
12			
"
"			
Принимал			
в			
моно			
и			
вместе			
с			
карбамазепином			
кратковременная			
сонливость			
через			
час			
два			
после			
приема			
затем			
просто			
никакого			
эффекта			
Но			
у			
меня			
не			
БАР			
и			
не			
шизофрения			
а			
РДР			
На			
антидепрессантах			
в			
моно			
эффект			
нормальный			
нейролептики			
вообще			
практически			
никакие			
не			
помогают			
кроме			
сульпирида			
в			
малых			
дозах			
вместе			
с			
ад			
"
"			
Можно			
ли			
им			
заменить			
сульпирид			
для			
потенцирования			
трициклика			
Как			
я			
понимаю			
дофаминергического			
эффекта			
у			
него			
нет			
больше			
на			
норадреналин			
"
"			
Обсуждаем			
препарат			
Труксал			
Хлорпротиксен			
"
"			
Я			
принимаю			
сейчас			
этот			
препарат			
В			
принципе			
он			
мне			
нравится			
помогает			
снять			
тревожность			
улучшает			
сон			
Главное			
для			
меня			
это			
повышенная			
тревожность			
В			
это			
труксал			
мне			
помогает			
Единственное			
днем			
отнего			
хотя			
я			
принимаю			
совсем			
небольшие			
дозы			
чувство			
усталости			
и			
сонливость			
Может			
со			
временем			
это			
пройдет			
"
"			
А			
какие			
дозы			
принимаете			
и			
в			
какое			
время			
суток			
По			
поводу			
чего			
был			
назначен			
труксал			
Принимаете			
ли			
какие			
нибудь			
еще			
препараты			
Сонливость			
это			
одно			
из			
наиболее			
частых			
побочных			
действий			
труксала			
Поэтому			
рекомендуется			
принимать			
большую			
дозу			
препарата			
