TOKEN	POST_NUM	ANIMACY	CASE	GENDER	PERSON	POS	DEPENDENCY	HEAD	HEAD_POS	HEAD_ANIMACY	HEAD_CASE	HEAD_GENDER	HEAD_POS	SENT_VECTOR	NER	COREFERENCE_CLUSTER
неплохой	65	-	ablt	femn	-	ADJF	amod	нейролептик	NOUN	inan	nomn	masc	NOUN	-0.6755857654847205	0	0
атипичный	65	-	nomn	masc	-	ADJF	amod	нейролептик	NOUN	inan	nomn	masc	NOUN	-0.6755857654847205	0	0
нейролептик	65	inan	nomn	masc	-	NOUN	obj	вызывает	VERB	-	-	-	VERB	-0.6755857654847205	0	0
А	65	-	-	-	-	CONJ	cc	лечит	VERB	-	-	-	VERB	-0.6755857654847205	0	0
лечит	65	-	-	-	3per	VERB	conj	вызывает	VERB	-	-	-	VERB	-0.6755857654847205	0	0
ли	65	-	-	-	-	CONJ	advmod	лечит	VERB	-	-	-	VERB	-0.6755857654847205	0	0
сероквель	65	inan	gent	femn	-	NOUN	obj	лечит	VERB	-	-	-	VERB	-0.6755857654847205	мед	серковель
негфтивную	65	-	accs	femn	-	ADJF	amod	симптоматику	NOUN	inan	accs	femn	NOUN	-0.6755857654847205	0	0
симптоматику	65	inan	accs	femn	-	NOUN	obj	сказал	VERB	-	-	masc	VERB	-0.6755857654847205	0	0
И	65	-	-	-	-	CONJ	cc	вызывает	VERB	-	-	-	VERB	-0.4220355035116275	0	0
вызывает	65	-	-	-	3per	VERB	ROOT	вызывает	VERB	-	-	-	VERB	-0.4220355035116275	0	0
ли	65	-	-	-	-	CONJ	advmod	вызывает	VERB	-	-	-	VERB	-0.4220355035116275	0	0
этот	65	inan	accs	masc	-	ADJF	det	препорат	NOUN	inan	nomn	masc	NOUN	-0.4220355035116275	0	0
препорат	65	inan	nomn	masc	-	NOUN	nsubj	вызывает	VERB	-	-	-	VERB	-0.4220355035116275	0	серковель
депрессию	65	inan	accs	femn	-	NOUN	obj	вызывает	VERB	-	-	-	VERB	-0.4220355035116275	0	0
Да	66	-	-	-	-	PRCL	advmod	Сероквель	NOUN	inan	gent	femn	NOUN	-0.5820017403668978	0	0
Сероквель	66	inan	gent	femn	-	NOUN	nsubj	один	ADJF	-	nomn	masc	ADJF	-0.5820017403668978	мед	серковель
пожалуй	66	-	-	-	-	CONJ	advmod	один	ADJF	-	nomn	masc	ADJF	-0.5820017403668978	0	
один	66	-	nomn	masc	-	ADJF	ROOT	один	ADJF	-	nomn	masc	ADJF	-0.5820017403668978	0	0
из	66	-	-	-	-	PREP	case	препаратов	NOUN	inan	gent	masc	NOUN	-0.5820017403668978	0	0
лучших	66	-	gent	-	-	ADJF	amod	препаратов	NOUN	inan	gent	masc	NOUN	-0.5820017403668978	0	0
препаратов	66	inan	gent	masc	-	NOUN	nmod	один	ADJF	-	nomn	masc	ADJF	-0.5820017403668978	0	0
влияющих	66	-	gent	-	-	PRTF	nmod	препаратов	NOUN	inan	gent	masc	NOUN	-0.5820017403668978	0	0
на	66	-	-	-	-	PREP	case	симптоматику	NOUN	inan	accs	femn	NOUN	-0.5820017403668978	0	0
негативную	66	-	accs	femn	-	ADJF	amod	симптоматику	NOUN	inan	accs	femn	NOUN	-0.5820017403668978	0	0
симптоматику	66	inan	accs	femn	-	NOUN	nmod	один	ADJF	-	nomn	masc	ADJF	-0.5820017403668978	0	0
Вызывает	67	-	-	-	3per	VERB	ROOT	Вызывает	VERB	-	-	-	VERB	-0.6056184284389019	0	0
ли	67	-	-	-	-	CONJ	advmod	Вызывает	VERB	-	-	-	VERB	-0.6056184284389019	0	0
Сероквель	67	inan	gent	femn	-	NOUN	nsubj	Вызывает	VERB	-	-	-	VERB	-0.6056184284389019	мед	серковель
дипрессию	67	inan	accs	femn	-	NOUN	obj	Вызывает	VERB	-	-	-	VERB	-0.6056184284389019	0	0
И	69	-	-	-	-	CONJ	cc	вызывает	VERB	-	-	-	VERB	-0.5315568011254073	0	0
еще	69	-	-	-	-	ADVB	advmod	вызывает	VERB	-	-	-	VERB	-0.5315568011254073	0	0
вызывает	69	-	-	-	3per	VERB	ROOT	вызывает	VERB	-	-	-	VERB	-0.5315568011254073	0	0
ли	69	-	-	-	-	CONJ	advmod	вызывает	VERB	-	-	-	VERB	-0.5315568011254073	0	0
этот	69	inan	accs	masc	-	ADJF	det	препорат	NOUN	inan	nomn	masc	NOUN	-0.5315568011254073	0	0
препорат	69	inan	nomn	masc	-	NOUN	nsubj	вызывает	VERB	-	-	-	VERB	-0.5315568011254073	0	серковель
сексуальную	69	-	accs	femn	-	ADJF	amod	дисфункцию	NOUN	inan	accs	femn	NOUN	-0.5315568011254073	0	0
дисфункцию	69	inan	accs	femn	-	NOUN	obj	вызывает	VERB	-	-	-	VERB	-0.5315568011254073	0	0
в	69	-	-	-	-	PREP	case	организме	NOUN	inan	loct	masc	NOUN	-0.5315568011254073	0	0
организме	69	inan	loct	masc	-	NOUN	obl	вызывает	VERB	-	-	-	VERB	-0.5315568011254073	0	0
Наталья1978	68	-	-	-	-	-	nsubj	сказал	VERB	-	-	masc	VERB	-1.0530064386714781	0	0
сказал	68	-	-	masc	-	VERB	ROOT	сказал	VERB	-	-	masc	VERB	-1.0530064386714781	0	0
а	68	-	-	-	-	CONJ	cc	Вызывает	VERB	-	-	-	VERB	-1.0530064386714781	0	0
Вызывает	68	-	-	-	3per	VERB	conj	сказал	VERB	-	-	masc	VERB	-1.0530064386714781	0	0
ли	68	-	-	-	-	CONJ	advmod	Вызывает	VERB	-	-	-	VERB	-1.0530064386714781	0	0
Сероквель	68	inan	gent	femn	-	NOUN	nsubj	Вызывает	VERB	-	-	-	VERB	-1.0530064386714781	мед	серковель
дипрессию	68	inan	accs	femn	-	NOUN	punct	сказал	VERB	-	-	masc	VERB	-1.0530064386714781	0	0
Депрессию	69	inan	accs	femn	-	NOUN	obj	лечет	NOUN	inan	gent	femn	NOUN	-1.0904513734082382	0	0
не	69	-	-	-	-	PRCL	advmod	лечет	NOUN	inan	gent	femn	NOUN	-1.0904513734082382	0	0
лечет	69	inan	gent	femn	-	NOUN	ROOT	лечет	NOUN	inan	gent	femn	NOUN	-1.0904513734082382	0	0
это	69	-	-	-	-	PRCL	nsubj	лечет	NOUN	inan	gent	femn	NOUN	-1.0904513734082382	0	0
не	69	-	-	-	-	PRCL	advmod	лечет	NOUN	inan	gent	femn	NOUN	-1.0904513734082382	0	0
антидепрессант	69	inan	nomn	masc	-	NOUN	punct	лечет	NOUN	inan	gent	femn	NOUN	-1.0904513734082382	0	0
Если	69	-	-	-	-	CONJ	mark	вызвана	PRTS	-	-	femn	PRTS	-1.064657914851393	0	0
только	69	-	-	-	-	ADVB	advmod	депрессия	NOUN	inan	nomn	femn	NOUN	-1.064657914851393	0	0
депрессия	69	inan	nomn	femn	-	NOUN	nsubj:pass	вызвана	PRTS	-	-	femn	PRTS	-1.064657914851393	0	0
не	69	-	-	-	-	PRCL	advmod	вызвана	PRTS	-	-	femn	PRTS	-1.064657914851393	0	0
была	69	-	-	femn	-	VERB	aux:pass	вызвана	PRTS	-	-	femn	PRTS	-1.064657914851393	0	0
вызвана	69	-	-	femn	-	PRTS	ROOT	вызвана	PRTS	-	-	femn	PRTS	-1.064657914851393	0	0
шизофренией	69	inan	ablt	femn	-	NOUN	obl	вызвана	PRTS	-	-	femn	PRTS	-1.064657914851393	0	0
Дисфункцию	69	inan	accs	femn	-	NOUN	obj	вызывает	VERB	-	-	-	VERB	-0.5973649132996798	0	0
не	69	-	-	-	-	PRCL	advmod	вызывает	VERB	-	-	-	VERB	-0.5973649132996798	0	0
вызывает	69	-	-	-	3per	VERB	ROOT	вызывает	VERB	-	-	-	VERB	-0.5973649132996798	0	0
некоторые	69	-	nomn	-	-	ADJF	nsubj	вызывает	VERB	-	-	-	VERB	-0.5973649132996798	0	0
даже	69	-	-	-	-	PRCL	advmod	сообщали	VERB	-	-	-	VERB	-0.5973649132996798	0	0
сообщали	69	-	-	-	-	VERB	conj	вызывает	VERB	-	-	-	VERB	-0.5973649132996798	0	0
о	69	-	-	-	-	PREP	case	повышение	NOUN	inan	nomn	neut	NOUN	-0.5973649132996798	0	0
повышение	69	inan	nomn	neut	-	NOUN	obl	сообщали	VERB	-	-	-	VERB	-0.5973649132996798	0	0
либидо	69	inan	nomn	neut	-	NOUN	nmod	повышение	NOUN	inan	nomn	neut	NOUN	-0.5973649132996798	0	0
женщины	69	anim	nomn	femn	-	NOUN	nmod	повышение	NOUN	inan	nomn	neut	NOUN	-0.5973649132996798	0	0
Единсвенный	69	-	nomn	masc	-	ADJF	amod	недостаток	NOUN	inan	nomn	masc	NOUN	-0.6913987442851066	0	0
недостаток	69	inan	nomn	masc	-	NOUN	nsubj	набор	NOUN	inan	nomn	masc	NOUN	-0.6913987442851066	0	0
это	69	-	-	-	-	PRCL	nsubj	набор	NOUN	inan	nomn	masc	NOUN	-0.6913987442851066	0	0
набор	69	inan	nomn	masc	-	NOUN	ROOT	набор	NOUN	inan	nomn	masc	NOUN	-0.6913987442851066	0	0
веса	69	inan	gent	masc	-	NOUN	nmod	набор	NOUN	inan	nomn	masc	NOUN	-0.6913987442851066	0	0
Dark	69	-	-	-	-	-	nsubj	сказал	VERB	-	-	masc	VERB	-1.2358505020849406	0	0
сказал	69	-	-	masc	-	VERB	ROOT	сказал	VERB	-	-	masc	VERB	-1.2358505020849406	0	0
а	69	-	-	-	-	CONJ	cc	сказал	VERB	-	-	masc	VERB	-1.2358505020849406	0	0
Наталья1978	69	-	-	-	-	-	obj	сказал	VERB	-	-	masc	VERB	-1.2358505020849406	0	0
сказал	69	-	-	masc	-	VERB	conj	сказал	VERB	-	-	masc	VERB	-1.2358505020849406	0	0
а	69	-	-	-	-	CONJ	cc	Вызывает	VERB	-	-	-	VERB	-1.2358505020849406	0	0
Вызывает	69	-	-	-	3per	VERB	ccomp	сказал	VERB	-	-	masc	VERB	-1.2358505020849406	0	0
ли	69	-	-	-	-	CONJ	advmod	Вызывает	VERB	-	-	-	VERB	-1.2358505020849406	0	0
Сероквель	69	inan	gent	femn	-	NOUN	nsubj	Вызывает	VERB	-	-	-	VERB	-1.2358505020849406	0	0
дипрессию	69	inan	accs	femn	-	NOUN	punct	сказал	VERB	-	-	masc	VERB	-1.2358505020849406	0	0
При	69	-	-	-	-	PREP	case	приеме	NOUN	inan	loct	masc	NOUN	-0.741159422844679	0	0
изолированном	69	-	loct	masc	-	PRTF	amod	приеме	NOUN	inan	loct	masc	NOUN	-0.741159422844679	0	0
приеме	69	inan	loct	masc	-	NOUN	obl	вызовет	VERB	-	-	-	VERB	-0.741159422844679	0	0
Сероквель	69	inan	gent	femn	-	NOUN	nsubj	вызовет	VERB	-	-	-	VERB	-0.741159422844679	мед	серковель
конечно	69	-	-	-	-	CONJ	advmod	вызовет	VERB	-	-	-	VERB	-0.741159422844679	0	0
вызовет	69	-	-	-	3per	VERB	ROOT	вызовет	VERB	-	-	-	VERB	-0.741159422844679	0	0
депрессию	69	inan	accs	femn	-	NOUN	obj	вызовет	VERB	-	-	-	VERB	-0.741159422844679	0	0
Но	69	-	-	-	-	CONJ	cc	выписывают	VERB	-	-	-	VERB	-0.741159422844679	0	0
иногда	69	-	-	-	-	ADVB	advmod	выписывают	VERB	-	-	-	VERB	-0.741159422844679	0	0
нейролептики	69	inan	nomn	masc	-	NOUN	nsubj	выписывают	VERB	-	-	-	VERB	-0.741159422844679	0	0
выписывают	69	-	-	-	3per	VERB	conj	вызовет	VERB	-	-	-	VERB	-0.741159422844679	0	0
к	69	-	-	-	-	PREP	case	антидепрессантам	NOUN	inan	datv	masc	NOUN	-0.741159422844679	0	0
антидепрессантам	69	inan	datv	masc	-	NOUN	obl	выписывают	VERB	-	-	-	VERB	-0.741159422844679	0	0
что	69	-	-	-	-	CONJ	advmod	преодолеть	INFN	-	-	-	INFN	-0.741159422844679	0	0
бы	69	-	-	-	-	PRCL	fixed	что	CONJ	-	-	-	CONJ	-0.741159422844679	0	0
преодолеть	69	-	-	-	-	INFN	xcomp	выписывают	VERB	-	-	-	VERB	-0.741159422844679	0	0
их	69	-	accs	-	3per	NPRO	det	резистентность	NOUN	inan	nomn	femn	NOUN	-0.741159422844679	0	0
резистентность	69	inan	nomn	femn	-	NOUN	obj	преодолеть	INFN	-	-	-	INFN	-0.741159422844679	0	0
при	69	-	-	-	-	PREP	case	приеме	NOUN	inan	loct	masc	NOUN	-0.741159422844679	0	0
длительном	69	-	loct	neut	-	ADJF	amod	приеме	NOUN	inan	loct	masc	NOUN	-0.741159422844679	0	0
приеме	69	inan	loct	masc	-	NOUN	obl	преодолеть	INFN	-	-	-	INFN	-0.741159422844679	0	0
При	69	-	-	-	-	PREP	case	шизофрении	NOUN	inan	gent	femn	NOUN	-0.741159422844679	0	0
шизофрении	69	inan	gent	femn	-	NOUN	nmod	приеме	NOUN	inan	loct	masc	NOUN	-0.741159422844679	0	0
картина	69	inan	nomn	femn	-	NOUN	obj	преодолеть	INFN	-	-	-	INFN	-0.741159422844679	0	0
конечно	69	-	-	-	-	CONJ	advmod	другая	ADJF	-	nomn	femn	ADJF	-0.741159422844679	0	0
другая	69	-	nomn	femn	-	ADJF	amod	картина	NOUN	inan	nomn	femn	NOUN	-0.741159422844679	0	0
если	69	-	-	-	-	CONJ	mark	Сероквель	NOUN	inan	gent	femn	NOUN	-0.741159422844679	0	0
она	69	-	nomn	femn	3per	NPRO	nsubj	Сероквель	NOUN	inan	gent	femn	NOUN	-0.741159422844679	0	0
с	69	-	-	-	-	PREP	case	депрессией	NOUN	inan	ablt	femn	NOUN	-0.741159422844679	0	0
депрессией	69	inan	ablt	femn	-	NOUN	nmod	она	NPRO	-	nomn	femn	NPRO	-0.741159422844679	0	0
то	69	-	-	-	-	CONJ	expl	Сероквель	NOUN	inan	gent	femn	NOUN	-0.741159422844679	0	0
Сероквель	69	inan	gent	femn	-	NOUN	obl	другая	ADJF	-	nomn	femn	ADJF	-0.741159422844679	мед	серковель
в	69	-	-	-	-	PREP	case	дозировках	NOUN	inan	loct	femn	NOUN	-0.741159422844679	0	0
малых	69	-	gent	-	-	ADJF	amod	дозировках	NOUN	inan	loct	femn	NOUN	-0.741159422844679	0	0
дозировках	69	inan	loct	femn	-	NOUN	nmod	Сероквель	NOUN	inan	gent	femn	NOUN	-0.741159422844679	0	0
очень	69	-	-	-	-	ADVB	advmod	даже	PRCL	-	-	-	PRCL	-0.741159422844679	0	0
даже	69	-	-	-	-	PRCL	advmod	помогает	VERB	-	-	-	VERB	-0.741159422844679	0	0
помогает	69	-	-	-	3per	VERB	conj	вызовет	VERB	-	-	-	VERB	-0.741159422844679	0	0
Как	70	-	-	-	-	CONJ	advmod	получается	VERB	-	-	-	VERB	-0.6720337040722371	0	0
же	70	-	-	-	-	PRCL	advmod	Как	CONJ	-	-	-	CONJ	-0.6720337040722371	0	0
получается	70	-	-	-	3per	VERB	parataxis	влияет	VERB	-	-	-	VERB	-0.6720337040722371	0	0
на	70	-	-	-	-	PREP	case	пролактин	NOUN	inan	nomn	masc	NOUN	-0.6720337040722371	0	0
пролактин	70	inan	nomn	masc	-	NOUN	obl	влияет	VERB	-	-	-	VERB	-0.6720337040722371	0	0
не	70	-	-	-	-	PRCL	advmod	влияет	VERB	-	-	-	VERB	-0.6720337040722371	0	0
влияет	70	-	-	-	3per	VERB	ROOT	влияет	VERB	-	-	-	VERB	-0.6720337040722371	0	0
а	70	-	-	-	-	CONJ	nsubj	влияет	VERB	-	-	-	VERB	-0.6720337040722371	0	0
вес	70	inan	accs	masc	-	NOUN	discourse	а	CONJ	-	-	-	CONJ	-0.6720337040722371	0	0
повышается	70	-	-	-	3per	VERB	punct	влияет	VERB	-	-	-	VERB	-0.6720337040722371	0	0
Jyliana	71	-	-	-	-	-	nsubj	сказал	VERB	-	-	masc	VERB	-0.8967790443745728	0	0
сказал	71	-	-	masc	-	VERB	ROOT	сказал	VERB	-	-	masc	VERB	-0.8967790443745728	0	0
а	71	-	-	-	-	CONJ	cc	влияет	VERB	-	-	-	VERB	-0.8967790443745728	0	0
Как	71	-	-	-	-	CONJ	advmod	получается	VERB	-	-	-	VERB	-0.8967790443745728	0	0
же	71	-	-	-	-	PRCL	advmod	Как	CONJ	-	-	-	CONJ	-0.8967790443745728	0	0
получается	71	-	-	-	3per	VERB	parataxis	влияет	VERB	-	-	-	VERB	-0.8967790443745728	0	0
на	71	-	-	-	-	PREP	case	пролактин	NOUN	inan	nomn	masc	NOUN	-0.8967790443745728	0	0
пролактин	71	inan	nomn	masc	-	NOUN	obl	влияет	VERB	-	-	-	VERB	-0.8967790443745728	0	0
не	71	-	-	-	-	PRCL	advmod	влияет	VERB	-	-	-	VERB	-0.8967790443745728	0	0
влияет	71	-	-	-	3per	VERB	conj	сказал	VERB	-	-	masc	VERB	-0.8967790443745728	0	0
а	71	-	-	-	-	CONJ	advmod	влияет	VERB	-	-	-	VERB	-0.8967790443745728	0	0
вес	71	inan	accs	masc	-	NOUN	discourse	а	CONJ	-	-	-	CONJ	-0.8967790443745728	0	0
повышается	71	-	-	-	3per	VERB	punct	сказал	VERB	-	-	masc	VERB	-0.8967790443745728	0	0
Сероквель	71	inan	gent	femn	-	NOUN	nsubj	влияет	VERB	-	-	-	VERB	-0.44472854110327636	мед	серковель
как	71	-	-	-	-	CONJ	advmod	влияет	VERB	-	-	-	VERB	-0.44472854110327636	0	0
раз	71	inan	gent	masc	-	NOUN	fixed	как	CONJ	-	-	-	CONJ	-0.44472854110327636	0	0
влияет	71	-	-	-	3per	VERB	ROOT	влияет	VERB	-	-	-	VERB	-0.44472854110327636	0	0
на	71	-	-	-	-	PREP	case	пролактин	NOUN	inan	nomn	masc	NOUN	-0.44472854110327636	0	0
пролактин	71	inan	nomn	masc	-	NOUN	obl	влияет	VERB	-	-	-	VERB	-0.44472854110327636	0	0
как	71	-	-	-	-	CONJ	advmod	влияет	VERB	-	-	-	VERB	-0.44472854110327636	0	0
и	71	-	-	-	-	CONJ	advmod	все	PRCL	-	-	-	PRCL	-0.44472854110327636	0	0
все	71	-	-	-	-	PRCL	conj	как	CONJ	-	-	-	CONJ	-0.44472854110327636	0	0
атипичные	71	-	nomn	-	-	ADJF	amod	нейролептики	NOUN	inan	nomn	masc	NOUN	-0.44472854110327636	0	0
нейролептики	71	inan	nomn	masc	-	NOUN	ROOT	нейролептики	NOUN	inan	nomn	masc	NOUN	-0.44472854110327636	0	0
Поэтому	71	-	-	-	-	ADVB	advmod	уменьшился	VERB	-	-	masc	VERB	-0.7018689936958253	0	0
то	71	-	-	-	-	CONJ	nsubj	уменьшился	VERB	-	-	masc	VERB	-0.7018689936958253	0	0
восторг	71	inan	accs	masc	-	NOUN	discourse	то	CONJ	-	-	-	CONJ	-0.7018689936958253	0	0
от	71	-	-	-	-	PREP	case	препаратов	NOUN	inan	gent	masc	NOUN	-0.7018689936958253	0	0
новых	71	-	gent	-	-	ADJF	amod	препаратов	NOUN	inan	gent	masc	NOUN	-0.7018689936958253	0	0
препаратов	71	inan	gent	masc	-	NOUN	nmod	восторг	NOUN	inan	accs	masc	NOUN	-0.7018689936958253	0	0
значительно	71	-	-	-	-	ADVB	advmod	уменьшился	VERB	-	-	masc	VERB	-0.7018689936958253	0	0
уменьшился	71	-	-	masc	-	VERB	ROOT	уменьшился	VERB	-	-	masc	VERB	-0.7018689936958253	0	0
Цитата	72	inan	nomn	femn	-	NOUN	nsubj	влияет	VERB	-	-	-	VERB	-0.463584590703249	0	0
Сероквель	72	inan	gent	femn	-	NOUN	appos	Цитата	NOUN	inan	nomn	femn	NOUN	-0.463584590703249	мед	серковель
как	72	-	-	-	-	CONJ	advmod	влияет	VERB	-	-	-	VERB	-0.463584590703249	0	0
раз	72	inan	gent	masc	-	NOUN	fixed	как	CONJ	-	-	-	CONJ	-0.463584590703249	0	0
влияет	72	-	-	-	3per	VERB	ROOT	влияет	VERB	-	-	-	VERB	-0.463584590703249	0	0
на	72	-	-	-	-	PREP	case	пролактин	NOUN	inan	nomn	masc	NOUN	-0.463584590703249	0	0
пролактин	72	inan	nomn	masc	-	NOUN	obl	влияет	VERB	-	-	-	VERB	-0.463584590703249	0	0
как	72	-	-	-	-	CONJ	discourse	влияет	VERB	-	-	-	VERB	-0.463584590703249	0	0
и	72	-	-	-	-	CONJ	advmod	все	PRCL	-	-	-	PRCL	-0.463584590703249	0	0
все	72	-	-	-	-	PRCL	conj	как	CONJ	-	-	-	CONJ	-0.463584590703249	0	0
атипичные	72	-	nomn	-	-	ADJF	amod	нейролептики	NOUN	inan	nomn	masc	NOUN	-0.463584590703249	0	0
нейролептики	72	inan	nomn	masc	-	NOUN	ROOT	нейролептики	NOUN	inan	nomn	masc	NOUN	-0.463584590703249	0	0
Поэтому	72	-	-	-	-	ADVB	advmod	уменьшился	VERB	-	-	masc	VERB	-0.7008694859428538	0	0
то	72	-	-	-	-	CONJ	mark	уменьшился	VERB	-	-	masc	VERB	-0.7008694859428538	0	0
восторг	72	inan	accs	masc	-	NOUN	nsubj	уменьшился	VERB	-	-	masc	VERB	-0.7008694859428538	0	0
от	72	-	-	-	-	PREP	case	препаратов	NOUN	inan	gent	masc	NOUN	-0.7008694859428538	0	0
новых	72	-	gent	-	-	ADJF	amod	препаратов	NOUN	inan	gent	masc	NOUN	-0.7008694859428538	0	0
препаратов	72	inan	gent	masc	-	NOUN	nmod	восторг	NOUN	inan	accs	masc	NOUN	-0.7008694859428538	0	0
значительно	72	-	-	-	-	ADVB	advmod	уменьшился	VERB	-	-	masc	VERB	-0.7008694859428538	0	0
уменьшился	72	-	-	masc	-	VERB	ROOT	уменьшился	VERB	-	-	masc	VERB	-0.7008694859428538	0	0
Если	72	-	-	-	-	CONJ	mark	влияют	VERB	-	-	-	VERB	-0.7008694859428538	0	0
и	72	-	-	-	-	CONJ	advmod	влияют	VERB	-	-	-	VERB	-0.7008694859428538	0	0
влияют	72	-	-	-	3per	VERB	advcl	уменьшился	VERB	-	-	masc	VERB	-0.7008694859428538	0	0
то	72	-	-	-	-	CONJ	obj	влияют	VERB	-	-	-	VERB	-0.7008694859428538	0	0
в	72	-	-	-	-	PREP	case	степени	NOUN	inan	loct	femn	NOUN	-0.7008694859428538	0	0
значительно	72	-	-	-	-	ADVB	advmod	меньшей	ADJF	-	gent	femn	ADJF	-0.7008694859428538	0	0
меньшей	72	-	gent	femn	-	ADJF	amod	степени	NOUN	inan	loct	femn	NOUN	-0.7008694859428538	0	0
степени	72	inan	loct	femn	-	NOUN	obl	влияют	VERB	-	-	-	VERB	-0.7008694859428538	0	0
чем	72	-	-	-	-	CONJ	fixed	влияют	VERB	-	-	-	VERB	-0.7008694859428538	0	0
типичные	72	-	nomn	-	-	ADJF	ROOT	типичные	ADJF	-	nomn	-	ADJF	-0.7008694859428538	0	0
И	72	-	-	-	-	CONJ	cc	связывают	VERB	-	-	-	VERB	-0.3966809490128704	0	0
связывают	72	-	-	-	3per	VERB	ROOT	связывают	VERB	-	-	-	VERB	-0.3966809490128704	0	0
же	72	-	-	-	-	PRCL	advmod	связывают	VERB	-	-	-	VERB	-0.3966809490128704	0	0
влияние	72	inan	accs	neut	-	NOUN	obj	связывают	VERB	-	-	-	VERB	-0.3966809490128704	0	0
на	72	-	-	-	-	PREP	case	пролактин	NOUN	inan	nomn	masc	NOUN	-0.3966809490128704	0	0
пролактин	72	inan	nomn	masc	-	NOUN	nmod	влияние	NOUN	inan	accs	neut	NOUN	-0.3966809490128704	0	0
с	72	-	-	-	-	PREP	case	влиянием	NOUN	inan	ablt	neut	NOUN	-0.3966809490128704	0	0
влиянием	72	inan	ablt	neut	-	NOUN	nmod	пролактин	NOUN	inan	nomn	masc	NOUN	-0.3966809490128704	0	0
на	72	-	-	-	-	PREP	case	D2	-	-	-	-	-	-0.3966809490128704	0	0
D2	72	-	-	-	-	-	nmod	влиянием	NOUN	inan	ablt	neut	NOUN	-0.3966809490128704	0	0
рецепторы	72	inan	accs	masc	-	NOUN	obj	связывают	VERB	-	-	-	VERB	-0.3966809490128704	0	0
а	72	-	-	-	-	CONJ	cc	влияют	VERB	-	-	-	VERB	-0.3966809490128704	0	0
атипичные	72	-	nomn	-	-	ADJF	nsubj	влияют	VERB	-	-	-	VERB	-0.3966809490128704	0	0
влияют	72	-	-	-	3per	VERB	conj	связывают	VERB	-	-	-	VERB	-0.3966809490128704	0	0
на	72	-	-	-	-	PREP	case	них	NPRO	-	gent	-	NPRO	-0.3966809490128704	0	0
них	72	-	gent	-	3per	NPRO	obl	влияют	VERB	-	-	-	VERB	-0.3966809490128704	0	0
слабее	72	-	-	-	-	COMP	advmod	влияют	VERB	-	-	-	VERB	-0.3966809490128704	0	0
чем	72	-	-	-	-	CONJ	fixed	слабее	COMP	-	-	-	COMP	-0.3966809490128704	0	0
типичные	72	-	nomn	-	-	ADJF	advcl	влияют	VERB	-	-	-	VERB	-0.3966809490128704	0	0
а	72	-	-	-	-	CONJ	cc	сероквель	NOUN	inan	gent	femn	NOUN	-0.3966809490128704	0	0
сероквель	72	inan	gent	femn	-	NOUN	conj	типичные	ADJF	-	nomn	-	ADJF	-0.3966809490128704	мед	серковель
вообще	72	-	-	-	-	ADVB	advmod	влияют	VERB	-	-	-	VERB	-0.3966809490128704	0	0
слабо	72	-	-	-	-	ADVB	advmod	связывают	VERB	-	-	-	VERB	-0.3966809490128704	0	0
А	72	-	-	-	-	CONJ	cc	происходит	VERB	-	-	-	VERB	-0.6874188310466707	0	0
наборо	72	inan	nomn	masc	-	NOUN	nsubj	происходит	VERB	-	-	-	VERB	-0.6874188310466707	0	0
веса	72	inan	gent	masc	-	NOUN	nmod	наборо	NOUN	inan	nomn	masc	NOUN	-0.6874188310466707	0	0
происходит	72	-	-	-	3per	VERB	ROOT	происходит	VERB	-	-	-	VERB	-0.6874188310466707	0	0
скорее	72	-	-	-	-	CONJ	advmod	происходит	VERB	-	-	-	VERB	-0.6874188310466707	0	0
всего	72	-	gent	neut	-	ADJF	obl	скорее	CONJ	-	-	-	CONJ	-0.6874188310466707	0	0
за	72	-	-	-	-	PREP	case	счёт	NOUN	inan	accs	masc	NOUN	-0.6874188310466707	0	0
счёт	72	inan	accs	masc	-	NOUN	obl	происходит	VERB	-	-	-	VERB	-0.6874188310466707	0	0
антигистаминного	72	-	gent	masc	-	ADJF	amod	действия	NOUN	inan	gent	neut	NOUN	-0.6874188310466707	0	0
и	72	-	-	-	-	CONJ	cc	антисеротонинового	ADJF	-	gent	masc	ADJF	-0.6874188310466707	0	0
антисеротонинового	72	-	gent	masc	-	ADJF	conj	антигистаминного	ADJF	-	gent	masc	ADJF	-0.6874188310466707	0	0
действия	72	inan	gent	neut	-	NOUN	nmod	счёт	NOUN	inan	accs	masc	NOUN	-0.6874188310466707	0	0
и	72	-	-	-	-	CONJ	cc	повышения	NOUN	inan	gent	neut	NOUN	-0.6874188310466707	0	0
повышения	72	inan	gent	neut	-	NOUN	conj	действия	NOUN	inan	gent	neut	NOUN	-0.6874188310466707	0	0
апппетита	72	inan	gent	masc	-	NOUN	nmod	повышения	NOUN	inan	gent	neut	NOUN	-0.6874188310466707	0	0
Есть	72	-	-	-	-	INFN	conj	происходит	VERB	-	-	-	VERB	-0.6874188310466707	0	0
даже	72	-	-	-	-	PRCL	advmod	какой	ADJF	-	loct	femn	ADJF	-0.6874188310466707	0	0
какой	72	-	loct	femn	-	ADJF	det	то	CONJ	-	-	-	CONJ	-0.6874188310466707	0	0
то	72	-	-	-	-	CONJ	nsubj	Есть	INFN	-	-	-	INFN	-0.6874188310466707	0	0
чистый	72	-	nomn	masc	-	ADJF	amod	антигистамин	NOUN	inan	nomn	masc	NOUN	-0.6874188310466707	0	0
